"";"0001";"0001 - Batu Pahat Mall (BP Mall)";"01 - Batu Pahat";"01 - Johor"
"";"0002";"0002 - BP Walk";"01 - Batu Pahat";"01 - Johor"
"";"0003";"0003 - Bukit Banang Golf & Country Club";"01 - Batu Pahat";"01 - Johor"
"";"0004";"0004 - Bukit Berdiri";"01 - Batu Pahat";"01 - Johor"
"";"0005";"0005 - Bukit Botak";"01 - Batu Pahat";"01 - Johor"
"";"0006";"0006 - Bukit Payung";"01 - Batu Pahat";"01 - Johor"
"";"0007";"0007 - Dataran Penggaram Batu Pahat";"01 - Batu Pahat";"01 - Johor"
"";"0008";"0008 - DIY Playground";"01 - Batu Pahat";"01 - Johor"
"";"0009";"0009 - Galeri Dato Onn";"01 - Batu Pahat";"01 - Johor"
"";"0010";"0010 - Kelab Golf Batu Pahat";"01 - Batu Pahat";"01 - Johor"
"";"0011";"0011 - Old Street Batu Pahat";"01 - Batu Pahat";"01 - Johor"
"";"0012";"0012 - Pantai Minyak Beku";"01 - Batu Pahat";"01 - Johor"
"";"0013";"0013 - Pantai Rekreasi Punggur";"01 - Batu Pahat";"01 - Johor"
"";"0014";"0014 - Pantai Rekreasi Sungai Lurus";"01 - Batu Pahat";"01 - Johor"
"";"0015";"0015 - Parit Sulong Memorial";"01 - Batu Pahat";"01 - Johor"
"";"0016";"0016 - Pasar Karat Batu Pahat";"01 - Batu Pahat";"01 - Johor"
"";"0017";"0017 - Square One Shopping Mall";"01 - Batu Pahat";"01 - Johor"
"";"0018";"0018 - Taman Botani Seri Medan";"01 - Batu Pahat";"01 - Johor"
"";"0019";"0019 - Taman Eko Rimba Soga Perdana";"01 - Batu Pahat";"01 - Johor"
"";"0020";"0020 - Tasik Y";"01 - Batu Pahat";"01 - Johor"
"";"9990";"9990 - Kedai Makan/ Restoran";"01 - Batu Pahat";"01 - Johor"
"";"9991";"9991 - Hospital/ Klinik";"01 - Batu Pahat";"01 - Johor"
"";"9992";"9992 - Pasaraya/ Kedai Runcit/ Pasar";"01 - Batu Pahat";"01 - Johor"
"";"9993";"9993 - Tempat Ibadat";"01 - Batu Pahat";"01 - Johor"
"";"9994";"9994 - Pusat Hiburan(Contoh: Kelab/ Pub/ Disko/ Karaoke)";"01 - Batu Pahat";"01 - Johor"
"";"9995";"9995 - Pusat Sukan/ Stadium/ Kelab Sukan & Rekreasi";"01 - Batu Pahat";"01 - Johor"
"";"9996";"9996 - Pusat Kesihatan/ Spa";"01 - Batu Pahat";"01 - Johor"
"";"9997";"9997 - Pusat Pendidikan/ Latihan/ Pusat Komuniti";"01 - Batu Pahat";"01 - Johor"
"";"9998";"9998 - Lain-lain (Hotspot yang tidak ada dalam senarai)";"01 - Batu Pahat";"01 - Johor"
"";"9999";"9999 - Lain-lain (Bukan hotspot)";"01 - Batu Pahat";"01 - Johor"
