"";;"PEKERJA PENJAGAAN DIRI DALAM PERKHIDMATAN KESIHATAN YANG TIDAK DIKELASKAN DI MANA-MANA";"PERSONAL CARE WORKERS IN HEALTH SERVICES CENTRE NOT ELSEWHERE CLASSIFIED";2020;;2013;
"";;"PROFESIONAL BERSEKUTU KESENIAN DAN KEBUDAYAAN YANG TIDAK DIKELASKAN DI 
MANA-MANA";"ARTISTIC AND CULTURAL ASSOCIATE PROFESSIONALS NOT ELSEWHERE CLASSIFIED";2020;;2013;
"";;"JURUTEKNIK KAWALAN PROSES YANG TIDAK DIKELASKAN DI MANA-MANA";"PROCESS CONTROL TECHNICIANS NOT ELSEWHERE CLASSIFIED";2020;;2013;
"";;"Juruteknik Makmal";"Laboratory Technician";2020;;2013;"311132"
"";;"PROFESIONAL PANGKALAN DATA DAN RANGKAIAN YANG TIDAK DIKELASKAN DI MANA-MANA";;2020;;2013;
"";;"PENGURUS PERKHIDMATAN YANG TIDAK DIKELASKAN DI MANA-MANA";"SERVICES MANAGERS NOT ELSEWHERE CLASSIFIED";2020;;2013;
"";;"PENGURUS PERKHIDMATAN PROFESIONAL YANG TIDAK DIKELASKAN DI MANA-MANA";"PROFESSIONAL SERVICES MANAGERS NOT ELSEWHERE CLASSIFIED";2020;;2013;
"";;"PENGURUS PERKHIDMATAN PERNIAGAAN DAN PENTADBIRAN
YANG TIDAK DIKELASKAN DI MANA-MANA";"BUSINESS SERVICES AND ADMINISTRATION MANAGERS NOT ELSEWHERE CLASSIFIED";2020;;2013;
"";;"BURUH PEMBUATAN YANG TIDAK DIKELASKAN DI MANA-MANA";"MANUFACTURING LABOURES NOT ELSEWHERE CLASSIFIED";2020;;2013;
"";"011101";"Pegawai Perubatan";"Medical Officer";2020;"011101";2013;"011101"
"";"011102";"Pegawai Pergigian";"Dental officer";2020;"011102";2013;"011102"
"";"011103";"Pegawai Farmasi";"Pharmacy Officer";2020;"011103";2013;"011103"
"";"012101";"Pegawai Rejimen Askar Melayu DiRaja (RAMD)";"Royal Malay Regiment Officer";2020;"012101";2013;"012101"
"";"012102";"Pegawai Rejimen Renjer DiRaja (RRD)";"Royal Ranger Regiment Officer";2020;"012102";2013;"012102"
"";"012103";"Pegawai Kor Armor DiRaja (KAD)";"Royal Armoured Corps Officer";2020;"012103";2013;"012103"
"";"012104";"Pegawai Rejimen Semboyan DiRaja (RSD)";"Royal Signals Regiment Officer";2020;"012104";2013;"012104"
"";"012105";"Pegawai Rejimen Askar Jurutera DiRaja (RAJD)";"Royal Engineer Regiment Officer";2020;"012105";2013;"012105"
"";"012106";"Pegawai Rejimen Artileri Diraja (RAD)";"Royal Artillery Regiment Officer";2020;"012106";2013;"012106"
"";"012107";"Pegawai Kor Perkhidmatan Am (KPA)";"General Services Corps Officer";2020;"012107";2013;"012107"
"";"012108";"Pegawai Kor Kesihatan DiRaja (KKD)";"Royal Medical Corps Officer";2020;"012108";2013;"012108"
"";"012109";"Pegawai Kor Polis Tentera DiRaja (KPTD)";"Royal Military Police Corps Officer";2020;"012109";2013;"012109"
"";"012110";"Pegawai Kor Risik DiRaja (KRD)";"Royal Intelligence Corps Officer";2020;"012110";2013;"012110"
"";"012111";"Pegawai Kor Perkhidmatan DiRaja (KPD)";"Royal Logistics Corps Officer";2020;"012111";2013;"012111"
"";"012112";"Pegawai Kor Ordnan DiRaja (KOD)";"Royal Ordnance Corps Officer";2020;"012112";2013;"012112"
"";"012113";"Pegawai Kor Jurutera Letrik dan Jentera DiRaja (KJLJD)";"Royal Electrical and Mechanical Engineer Corps Officer";2020;"012113";2013;"012113"
"";"012114";"Pegawai Kor Agama Angkatan Tentera (KAGAT)";"Armed Forces Religious Corps Officer";2020;"012114";2013;"012114"
"";"012115";"Pegawai Askar Wataniah (AW)";"Territorial Army Regiment Officer";2020;"012115";2013;"012115"
"";"012116";"Pegawai Rejimen Sempadan (RS)";"Border Regiment Officer";2020;"012116";2013;"012116"
"";"013101";"Anggota Infantri";"Member of the Infantry";2020;"013101";2013;"013101"
"";"013102";"Anggota Senjata Bantuan Infantri";"Member of the Infantry Assistance Weapon";2020;"013102";2013;"013102"
"";"013103";"Anggota Pengurusan Pengangkutan";"Member of Transportation Management";2020;"013103";2013;"013103"
"";"013104";"Krew Mekanize";"Krew Mekanize";2020;"013104";2013;"013104"
"";"013105";"Anggota Kerani Ketenteraan";"Military Clerk";2020;"013105";2013;"013105"
"";"013106";"Anggota Pentadbir Logistik";"Member of Infantry";2020;"013106";2013;"013106"
"";"013107";"Jurulatih Jasmani (TDM)";"Physical Trainer (MA)";2020;"013107";2013;"013107"
"";"013108";"Juru Rintis Serang";"Serang Pioneer";2020;"013108";2013;"013108"
"";"013109";"Krew Semboyan";"Team Crew";2020;"013109";2013;"013109"
"";"013110";"Anggota Pancaragam (TDM)";"Member of the Brass Band (MA)";2020;"013110";2013;"013110"
"";"013111";"Anggota Gerak Khas";"Member of the Special Movement";2020;"013111";2013;"013111"
"";"013112";"Krew Armor";"Armor Crew";2020;"013112";2013;"013112"
"";"013113";"Juruteknik Komunikasi dan Informasi";"Communication and Information Technician";2020;"013113";2013;"013113"
"";"013114";"Jurusistem Komunikasi dan Informasi";"Communication and Information System";2020;"013114";2013;"013114"
"";"013115";"Jurukomunikasi Kombat Semboyan";"Spokesman Kombat Semboyan";2020;"013115";2013;"013115"
"";"013116";"Jurupelan";"Scratches";2020;"013116";2013;"013116"
"";"013117";"Juruukur";"Surveyor";2020;"013117";2013;"013117"
"";"013118";"Penerap Bata";"Bricklayers";2020;"013118";2013;"013118"
"";"013119";"Jurukerja Paip";"Pipe Worker";2020;"013119";2013;"013119"
"";"013120";"Jurulogam";"Metal Worker";2020;"013120";2013;"013120"
"";"013121";"Tukang Kayu dan Tanggam";"Wood Worker and Joiner";2020;"013121";2013;"013121"
"";"013122";"Tukang Cat dan Hias";"Painters and Decorators";2020;"013122";2013;"013122"
"";"013123";"Pemandu Loji";"Plant Driver";2020;"013123";2013;"013123"
"";"013124";"Jurugegas Pembakaran Dalam dan Pam";"Fitter Combustion and Pam";2020;"013124";2013;"013124"
"";"013125";"Jurugegas Loji";"Plant Supervisor";2020;"013125";2013;"013125"
"";"013126";"Juruelektrik";"Electrician";2020;"013126";2013;"013126"
"";"013127";"Juruteknik Pemusnahan";"Destruction Technician";2020;"013127";2013;"013127"
"";"013128";"Jurumeriam";"Gunners";2020;"013128";2013;"013128"
"";"013129";"Pemprosesan Data Balistik";"Ballistic Data Processing";2020;"013129";2013;"013129"
"";"013130";"Juruukur Artileri";"Artillery Surveyor";2020;"013130";2013;"013130"
"";"013131";"Pengesan Artileri";"Artillery Detectors";2020;"013131";2013;"013131"
"";"013132";"Anggota Kawalan Tembakan";"Members of the Shot Control";2020;"013132";2013;"013132"
"";"013133";"Anggota Meriam Pertahanan Udara";"Member of the Air Defense Artillery";2020;"013133";2013;"013133"
"";"013134";"Jururadar";"Radar Operator";2020;"013134";2013;"013134"
"";"013135";"Kerani Perakaunan Ketenteraan";"Military Accounting Clerk";2020;"013135";2013;"013135"
"";"013136";"Jurusistem Perakaunan Ketenteraan";"Military Accounting System";2020;"013136";2013;"013136"
"";"013137";"Pembantu Pendidikan";"Educational Assistant";2020;"013137";2013;"013137"
"";"013138";"Wartawan Tempur";"Combat Reporters";2020;"013138";2013;"013138"
"";"013139";"Paramedik";"Paramedics";2020;"013139";2013;"013139"
"";"013140";"Penolong Pegawai Perubatan";"Assistant Medical Officer";2020;"013140";2013;"013140"
"";"013141";"Jururawat Terlatih";"Trained Nurse";2020;"013141";2013;"013141"
"";"013142";"Penolong Pegawai Kesihatan Persekitaran";"Assistant Environmental Health Officer";2020;"013142";2013;"013142"
"";"013143";"Juruteknologi Makmal Perubatan";"Medical Laboratory Technologist";2020;"013143";2013;"013143"
"";"013144";"Juru X-Ray";"Radiographer";2020;"013144";2013;"013144"
"";"013145";"Penolong Pegawai Farmasi";"Assistant Pharmaceutical Officer";2020;"013145";2013;"013145"
"";"013146";"Juruteknologi Pergigian";"Dental Technologist";2020;"013146";2013;"013146"
"";"013147";"Jururawat Pergigian";"Dental Nurse";2020;"013147";2013;"013147"
"";"013148";"Jurupulih Perubatan Anggota/Fisioterapi";"Physiotherapist Medical";2020;"013148";2013;"013148"
"";"013149";"Jurupulih Perubatan Cara kerja";"Medical Therapist, Occupational";2020;"013149";2013;"013149"
"";"013150";"Penolong Pegawai Veterinar";"Assistant Veterinary Officer Grade G29";2020;"013150";2013;"013150"
"";"013151";"Anggota Polis Tentera";"Military Police Member";2020;"013151";2013;"013151"
"";"013152";"Anggota Keselamatan dan Risik Balas";"Security and Response Members";2020;"013152";2013;"013152"
"";"013153";"Gerak Saraf Perang Saraf";"The Nerves of the Nervous War";2020;"013153";2013;"013153"
"";"013154";"Perisikan Imejeri";"Imagery Intelligence";2020;"013154";2013;"013154"
"";"013155";"Perisikan Strategik";"Strategic Intelligence";2020;"013155";2013;"013155"
"";"013156";"Operasi Human Intelligence";"Operation Human Intelligence";2020;"013156";2013;"013156"
"";"013157";"Operasi Perisikan Khas";"Special Intelligence Operations";2020;"013157";2013;"013157"
"";"013158";"Chef Tentera";"Army Chef";2020;"013158";2013;"013158"
"";"013159";"Juruteknik Logistik";"Logistic Technician";2020;"013159";2013;"013159"
"";"013160";"Juruteknik Peluru";"Bullet Technician";2020;"013160";2013;"013160"
"";"013161";"Juruteknik Percetakan";"Printing Technician";2020;"013161";2013;"013161"
"";"013162";"Juruteknik Kejuruteraan Automatif";"Automotive Engineering Technician";2020;"013162";2013;"013162"
"";"013163";"Juruteknik Kejuruteraan Elektronik";"Electronic Engineering Technician";2020;"013163";2013;"013163"
"";"013164";"Juruteknik Kejuruteraan Senjata";"Weapons Engineering Technician";2020;"013164";2013;"013164"
"";"013165";"Juruteknik Kejuruteraan Pembuatan";"Manufacturing Engineering Technician";2020;"013165";2013;"013165"
"";"013166";"Juruteknik Kejuruteraan Kembalik";"Return Engineering Engineer";2020;"013166";2013;"013166"
"";"013167";"Juruteknik Kejuruteraan Avionik";"Avionic Engineering Technician";2020;"013167";2013;"013167"
"";"013168";"Juruteknik Kejuruteraan Aeromekanikal";"Aeromechanical Engineering Technician";2020;"013168";2013;"013168"
"";"013169";"Juruteknik Kejuruteraan Persenjataan Pesawat";"Aircraft Engineering Engineer";2020;"013169";2013;"013169"
"";"013170";"Penasihat Hal Ehwal Islam Ketenteraan";"Military Islamic Affairs Adviser";2020;"013170";2013;"013170"
"";"021101";"Pegawai Eksekutif";"Executive Officer";2020;"021101";2013;"21101"
"";"021102";"Pegawai Teknikal";"Technical Officer";2020;"021102";2013;"21102"
"";"021103";"Pegawai Bekalan";"Supply Officer";2020;"021103";2013;"21103"
