"";"A";"01111";"Penanaman jagung";"Growing of maize";"01111"
"";"A";"01112";"Penanaman tanaman kekacang";"Growing of leguminous crops";"01112"
"";"A";"01113";"Penanaman bijian berminyak";"Growing of oil seeds";"01113"
"";"A";"01119";"Penanaman bijirin lain t.t.t.l.";"Growing of other cereals n.e.c";"01119"
"";"A";"01120";"Penanaman beras (padi)";"Growing of rice (paddy)";"01120"
"";"A";"01131";"Penanaman sawi";"Growing of mustards";"01131p, 01135p"
"";"A";"01132";"Penanaman bayam";"Growing of spinachs";"01131p, 01135p"
"";"A";"01133";"Penanaman tembikai";"Growing of melons";"01133"
"";"A";"01134";"Penanaman cendawan dan trufel";"Growing of mushrooms and truffles";"01134"
"";"A";"01135";"Penanaman timun";"Growing of cucumbers";"01132p, 01135p"
"";"A";"01136";"Penanaman terung (aubergines)";"Growing of eggplants (aubergines)";"01132p, 01135p"
"";"A";"01137";"Penanaman kobis";"Growing of cabbages";"01131p, 01135p"
"";"A";"01138";"Penanaman tomato";"Growing of tomatoes";"01132p, 01135p"
"";"A";"01139";"Penanaman sayur-sayuran dan ubi lain t.t.t.l.";"Growing of vegetables and other tubers n.e.c";"01131p, 01132p, 01135p, 01136, 01137, 01138"
"";"A";"01140";"Penanaman tebu";"Growing of sugar cane";"01140"
"";"A";"01150";"Penanaman tembakau";"Growing of tobacco";"01150"
"";"A";"01161";"Penanaman kenaf";"Growing of kenaf";"01160p"
"";"A";"01169";"Penanaman tanaman berserat yang lain t.t.t.l.";"Growing of other fibre crops n.e.c";"01160p"
"";"A";"01170";"Penanaman cili dan lada (lada benggala spp.)";"Growing of chilies and peppers (capsicum spp.)";"01282"
"";"A";"01191";"Penanaman bunga";"Growing of flowers";"01191"
"";"A";"01192";"Penanaman biji benih bungaan";"Growing of flower seeds";"01192"
"";"A";"01193";"Penanaman sagu (rumbia)";"Growing of sago (rumbia)";"01193"
"";"A";"01194";"Penanaman napier";"Growing of napier";"01199p"
"";"A";"01195";"Penanaman pokok roselle";"Growing of roselle";"01296"
"";"A";"01199";"Penanaman tanaman bukan kekal lain t.t.t.l.";"Growing of other non-perennial crops n.e.c.";"01199p"
"";"A";"01210";"Penanaman anggur";"Growing of grapes";"01210"
"";"A";"01221";"Penanaman pisang";"Growing of banana";"01221"
"";"A";"01222";"Penanaman mangga";"Growing of mango";"01222"
"";"A";"01223";"Penanaman durian";"Growing of durian";"01223"
"";"A";"01224";"Penanaman rambutan";"Growing of rambutan";"01224"
"";"A";"01225";"Penanaman buah belimbing";"Growing of star fruit";"01225"
"";"A";"01226";"Penanaman betik";"Growing of papaya";"01226"
"";"A";"01227";"Penanaman nanas";"Growing of pineapple";"01227"
"";"A";"01228";"Penanaman buah naga";"Growing of pitaya (dragon fruit)";"01228"
"";"A";"01229";"Penanaman buah-buahan tropika dan subtropika lain t.t.t.l.";"Growing of other tropical and subtropical fruits n.e.c.";"01229"
"";"A";"01231";"Penanaman limau bali";"Growing of pomelo";"01231"
"";"A";"01232";"Penanaman lemon dan limau nipis";"Growing of lemon and limes";"01232"
"";"A";"01233";"Penanaman tangerin dan mandarin";"Growing of tangerines and mandarin";"01233"
"";"A";"01239";"Penanaman buah-buahan sitrus lain t.t.t.l.";"Growing of other citrus fruits n.e.c.";"01239"
"";"A";"01241";"Penanaman jambu batu";"Growing of guava";"01241"
"";"A";"01249";"Penanaman buah-buahan delima dan berbiji lain t.t.t.l.";"Growing of other pome fruits and stones fruits n.e.c.";"01249"
"";"A";"01251";"Penanaman buah beri";"Growing of berries";"01251"
"";"A";"01252";"Penanaman biji benih buah-buahan";"Growing of fruit seeds";"01252"
"";"A";"01253";"Penanaman kekacang yang boleh dimakan";"Growing of edible nuts";"01253"
"";"A";"01259";"Penanaman pokok dan buah-buahan bertandan lain";"Growing of other tree and bush fruits";"01259"
"";"A";"01261";"Penanaman kelapa sawit (estet)";"Growing of oil palm (estate)";"01261"
"";"A";"01262";"Penanaman kelapa sawit (kebun kecil)";"Growing of oil palm (smallholdings)";"01262"
"";"A";"01263";"Penanaman kelapa (estet dan kebun kecil)";"Growing of coconut (estate and smallholdings)";"01263"
"";"A";"01269";"Penanaman buah-buah lain untuk minyak t.t.t.l.";"Growing of other oleaginous fruits n.e.c.";"01269"
"";"A";"01271";"Penanaman kopi";"Growing of coffee";"01271"
"";"A";"01272";"Penanaman teh";"Growing of tea";"01272"
"";"A";"01273";"Penanaman koko";"Growing of cocoa";"01273"
"";"A";"01279";"Penanaman tanaman minuman lain t.t.t.l.";"Growing of other beverage crops n.e.c.";"01279"
